Station,Latitude,Longitude,Date,Time,Depth,Tube,Chl,Phe,Region
1,48.301,-128.523,19/02/2019,9:30,0,8,0.62,0.16,south
1,48.301,-128.523,19/02/2019,9:30,25,54,0.39,0.48,south
1,48.301,-128.523,19/02/2019,9:30,50,818,0.65,0.21,south
1,48.301,-128.523,19/02/2019,9:30,75,97,0.05,0.05,south
1,48.301,-128.523,19/02/2019,9:30,100,40,0.01,0.03,south
1,48.301,-128.523,19/02/2019,9:30,150,444,0.01,0.02,south
2,48.183,-129.917,19/02/2019,19:05,0,255,0.37,0.48,south
2,48.183,-129.917,19/02/2019,19:05,25,844,0.37,0.44,south
2,48.183,-129.917,19/02/2019,19:05,50,831,0.55,0.19,south
2,48.183,-129.917,19/02/2019,19:05,75,59,0.31,0.41,south
2,48.183,-129.917,19/02/2019,19:05,100,422,0.29,0.49,south
2,48.183,-129.917,19/02/2019,19:05,150,839,0.01,0.00,south
3,47.667,-136.997,21/02/2019,20:21,0,265,0.47,0.33,south
3,47.667,-136.997,21/02/2019,20:21,25,504,0.27,0.54,south
3,47.667,-136.997,21/02/2019,20:21,50,904,0.41,0.45,south
3,47.667,-136.997,21/02/2019,20:21,75,243,0.36,0.47,south
3,47.667,-136.997,21/02/2019,20:21,100,491,0.20,0.25,south
3,47.667,-136.997,21/02/2019,20:21,150,469,0.01,0.03,south
4,47.662,-138.500,22/02/2019,6:30,0,400,0.53,0.22,south
4,47.662,-138.500,22/02/2019,6:30,25,65,0.59,0.25,south
4,47.662,-138.500,22/02/2019,6:30,50,810,0.65,0.13,south
4,47.662,-138.500,22/02/2019,6:30,75,222,0.46,0.40,south
4,47.662,-138.500,22/02/2019,6:30,100,289,0.12,0.13,south
4,47.662,-138.500,22/02/2019,6:30,150,486,0.01,0.04,south
5,47.667,-140.000,22/02/2019,19:00,0,485,0.39,0.45,south
5,47.667,-140.000,22/02/2019,19:00,25,471,0.33,0.43,south
5,47.667,-140.000,22/02/2019,19:00,50,458,0.40,0.37,south
5,47.667,-140.000,22/02/2019,19:00,75,408,0.29,0.47,south
5,47.667,-140.000,22/02/2019,19:00,100,25,0.32,0.00,south
5,47.667,-140.000,22/02/2019,19:00,150,15,0.01,0.04,south
6,47.666,-141.499,23/02/2019,6:00,0,852,0.61,0.16,south
6,47.666,-141.499,23/02/2019,6:00,25,406,0.44,0.40,south
6,47.666,-141.499,23/02/2019,6:00,50,60,0.32,0.48,south
6,47.666,-141.499,23/02/2019,6:00,75,450,0.31,0.47,south
6,47.666,-141.499,23/02/2019,6:00,100,238,0.07,0.07,south
6,47.666,-141.499,23/02/2019,6:00,150,426,0.02,0.03,south
7,47.667,-143.000,23/02/2019,15:20,0,410,0.69,0.18,south
7,47.667,-143.000,23/02/2019,15:20,25,20,0.74,0.23,south
7,47.667,-143.000,23/02/2019,15:20,50,75,0.69,0.12,south
7,47.667,-143.000,23/02/2019,15:20,75,287,0.71,0.16,south
7,47.667,-143.000,23/02/2019,15:20,100,30,0.31,0.28,south
7,47.667,-143.000,23/02/2019,15:20,150,36,0.02,0.04,south
8,47.670,-144.496,23/02/2019,11:45,0,1315,0.61,0.23,south
8,47.670,-144.496,23/02/2019,11:45,25,251,0.72,0.19,south
8,47.670,-144.496,23/02/2019,11:45,50,2,0.58,0.23,south
8,47.670,-144.496,23/02/2019,11:45,75,35,0.35,0.20,south
8,47.670,-144.496,23/02/2019,11:45,100,264,0.27,0.35,south
8,47.670,-144.496,23/02/2019,11:45,150,87,0.03,0.02,south
9,47.666,-145.866,24/02/2019,8:15,0,53,0.68,0.11,south
9,47.666,-145.866,24/02/2019,8:15,25,405,0.73,0.16,south
9,47.666,-145.866,24/02/2019,8:15,50,270,0.45,0.41,south
9,47.666,-145.866,24/02/2019,8:15,75,503,0.26,0.31,south
9,47.666,-145.866,24/02/2019,8:15,100,23,0.14,0.10,south
9,47.666,-145.866,24/02/2019,8:15,150,41,0.02,0.04,south
10,47.667,-147.500,24/02/2019,16:50,0,237,0.64,0.20,south
10,47.667,-147.500,24/02/2019,16:50,25,69,0.59,0.14,south
10,47.667,-147.500,24/02/2019,16:50,50,498,0.58,0.21,south
10,47.667,-147.500,24/02/2019,16:50,75,830,0.42,0.46,south
10,47.667,-147.500,24/02/2019,16:50,100,68,0.29,0.49,south
10,47.667,-147.500,24/02/2019,16:50,150,299,0.01,0.04,south
11,48.668,-147.500,25/02/2019,2:05,0,226,0.44,0.34,south
11,48.668,-147.500,25/02/2019,2:05,25,821,0.38,0.37,south
11,48.668,-147.500,25/02/2019,2:05,50,216,0.37,0.46,south
11,48.668,-147.500,25/02/2019,2:05,75,210,0.37,0.42,south
11,48.668,-147.500,25/02/2019,2:05,100,845,0.33,0.45,south
11,48.668,-147.500,25/02/2019,2:05,150,431,0.02,0.03,south
12,49.667,-147.500,25/02/2019,11:15,0,502,0.34,0.45,south
12,49.667,-147.500,25/02/2019,11:15,25,249,0.38,0.40,south
12,49.667,-147.500,25/02/2019,11:15,50,31,0.35,0.47,south
12,49.667,-147.500,25/02/2019,11:15,75,235,0.38,0.41,south
12,49.667,-147.500,25/02/2019,11:15,100,220,0.31,0.47,south
12,49.667,-147.500,25/02/2019,11:15,150,95,0.02,0.04,south
13,50.667,-147.500,25/02/2019,20:36,0,809,0.34,0.38,south
13,50.667,-147.500,25/02/2019,20:36,25,258,0.31,0.39,south
13,50.667,-147.500,25/02/2019,20:36,50,483,0.34,0.31,south
13,50.667,-147.500,25/02/2019,20:36,75,67,0.33,0.26,south
13,50.667,-147.500,25/02/2019,20:36,100,470,0.13,0.08,south
13,50.667,-147.500,25/02/2019,20:36,150,41,0.02,0.02,south
14,51.666,-147.501,26/02/2019,5:15,0,78,0.28,0.49,south
14,51.666,-147.501,26/02/2019,5:15,25,56,0.32,0.41,south
14,51.666,-147.501,26/02/2019,5:15,50,419,0.32,0.44,south
14,51.666,-147.501,26/02/2019,5:15,75,204,0.32,0.39,south
14,51.666,-147.501,26/02/2019,5:15,100,1312,0.32,0.21,south
14,51.666,-147.501,26/02/2019,5:15,150,77,0.01,0.02,south
15,52.667,-147.500,26/02/2019,13:30,0,23,0.37,0.45,north
15,52.667,-147.500,26/02/2019,13:30,25,66,0.37,0.48,north
15,52.667,-147.500,26/02/2019,13:30,50,292,0.43,0.39,north
15,52.667,-147.500,26/02/2019,13:30,75,63,0.36,0.40,north
15,52.667,-147.500,26/02/2019,13:30,100,227,0.39,0.04,north
15,52.667,-147.500,26/02/2019,13:30,150,492,0.02,0.02,north
16,53.667,-147.500,26/02/2019,21:25,0,417,0.56,0.32,north
16,53.667,-147.500,26/02/2019,21:25,25,217,0.38,0.49,north
16,53.667,-147.500,26/02/2019,21:25,50,436,0.57,0.24,north
16,53.667,-147.500,26/02/2019,21:25,75,1316,0.04,0.68,north
16,53.667,-147.500,26/02/2019,21:25,100,8,0.19,0.05,north
16,53.667,-147.500,26/02/2019,21:25,150,303,0.02,0.02,north
17,54.667,-147.500,27/02/2019,5:45,0,298,0.28,0.38,north
17,54.667,-147.500,27/02/2019,5:45,25,256,0.27,0.39,north
17,54.667,-147.500,27/02/2019,5:45,50,247,0.29,0.47,north
17,54.667,-147.500,27/02/2019,5:45,75,253,0.25,0.39,north
17,54.667,-147.500,27/02/2019,5:45,100,446,0.44,-0.08,north
17,54.667,-147.500,27/02/2019,5:45,150,52,0.01,0.03,north
18,55.668,-147.500,27/02/2019,14:30,0,17,0.74,0.18,north
18,55.668,-147.500,27/02/2019,14:30,25,416,0.70,0.13,north
18,55.668,-147.500,27/02/2019,14:30,50,91,0.67,0.17,north
18,55.668,-147.500,27/02/2019,14:30,75,474,0.57,0.23,north
18,55.668,-147.500,27/02/2019,14:30,100,404,0.08,0.08,north
18,55.668,-147.500,27/02/2019,14:30,150,451,0.00,0.03,north
19,56.667,-147.500,27/02/2019,22:27,0,295,0.85,0.10,north
19,56.667,-147.500,27/02/2019,22:27,25,42,0.75,0.24,north
19,56.667,-147.500,27/02/2019,22:27,50,302,0.81,0.19,north
19,56.667,-147.500,27/02/2019,22:27,75,76,0.74,0.22,north
19,56.667,-147.500,27/02/2019,22:27,100,283,0.04,0.06,north
19,56.667,-147.500,27/02/2019,22:27,150,481,0.01,0.03,north
20,56.667,-146.000,28/02/2019,6:15,0,463,0.07,0.64,north
20,56.667,-146.000,28/02/2019,6:15,25,407,0.58,0.14,north
20,56.667,-146.000,28/02/2019,6:15,50,240,0.65,0.18,north
20,56.667,-146.000,28/02/2019,6:15,75,822,0.06,0.13,north
20,56.667,-146.000,28/02/2019,6:15,100,279,0.01,0.04,north
20,56.667,-146.000,28/02/2019,6:15,150,236,0.00,0.02,north
21,56.667,-144.500,28/02/2019,13:50,0,380,0.78,0.20,north
21,56.667,-144.500,28/02/2019,13:50,25,196,0.79,0.19,north
21,56.667,-144.500,28/02/2019,13:50,50,368,0.82,0.15,north
21,56.667,-144.500,28/02/2019,13:50,75,313,0.74,0.22,north
21,56.667,-144.500,28/02/2019,13:50,100,353,0.03,0.04,north
21,56.667,-144.500,28/02/2019,13:50,150,187,0.01,0.03,north
22,56.667,-143.000,28/02/2019,21:05,0,191,0.40,0.48,north
22,56.667,-143.000,28/02/2019,21:05,25,322,0.61,0.06,north
22,56.667,-143.000,28/02/2019,21:05,50,167,0.55,0.20,north
22,56.667,-143.000,28/02/2019,21:05,75,161,0.40,0.48,north
22,56.667,-143.000,28/02/2019,21:05,100,186,0.30,0.41,north
22,56.667,-143.000,28/02/2019,21:05,150,394,0.01,0.04,north
23,55.667,-142.998,01/03/2019,5:23,0,336,0.61,0.34,north
23,55.667,-142.998,01/03/2019,5:23,25,317,0.69,0.26,north
23,55.667,-142.998,01/03/2019,5:23,50,165,0.73,0.12,north
23,55.667,-142.998,01/03/2019,5:23,75,138,0.65,0.25,north
23,55.667,-142.998,01/03/2019,5:23,100,383,0.62,0.24,north
23,55.667,-142.998,01/03/2019,5:23,150,190,0.01,0.03,north
24,55.667,-144.500,01/03/2019,13:15,0,357,0.74,0.22,north
24,55.667,-144.500,01/03/2019,13:15,25,335,0.77,0.18,north
24,55.667,-144.500,01/03/2019,13:15,50,177,0.75,0.15,north
24,55.667,-144.500,01/03/2019,13:15,75,192,0.37,0.44,north
24,55.667,-144.500,01/03/2019,13:15,100,151,0.31,0.28,north
24,55.667,-144.500,01/03/2019,13:15,150,179,0.02,0.02,north
25,55.667,-145.997,01/03/2019,20:30,0,327,0.30,0.47,north
25,55.667,-145.997,01/03/2019,20:30,25,398,0.26,0.49,north
25,55.667,-145.997,01/03/2019,20:30,50,334,0.28,0.38,north
25,55.667,-145.997,01/03/2019,20:30,75,330,0.42,-0.05,north
25,55.667,-145.997,01/03/2019,20:30,100,148,0.02,0.02,north
25,55.667,-145.997,01/03/2019,20:30,150,318,0.01,0.00,north
26,54.669,-145.986,02/03/2019,4:40,0,163,0.36,0.49,north
26,54.669,-145.986,02/03/2019,4:40,25,157,0.38,0.48,north
26,54.669,-145.986,02/03/2019,4:40,50,199,0.25,0.27,north
26,54.669,-145.986,02/03/2019,4:40,75,320,0.25,0.27,north
26,54.669,-145.986,02/03/2019,4:40,100,324,0.06,0.06,north
26,54.669,-145.986,02/03/2019,4:40,150,183,0.00,0.00,north
27,53.667,-146.000,02/03/2019,12:50,0,307,0.42,0.41,north
27,53.667,-146.000,02/03/2019,12:50,25,385,0.33,0.50,north
27,53.667,-146.000,02/03/2019,12:50,50,172,0.29,0.47,north
27,53.667,-146.000,02/03/2019,12:50,75,341,0.31,0.44,north
27,53.667,-146.000,02/03/2019,12:50,100,182,0.28,0.02,north
27,53.667,-146.000,02/03/2019,12:50,150,156,0.01,0.02,north
28,52.668,-146.000,02/03/2019,20:40,0,195,0.61,0.18,north
28,52.668,-146.000,02/03/2019,20:40,25,155,0.47,0.40,north
28,52.668,-146.000,02/03/2019,20:40,50,337,0.65,0.06,north
28,52.668,-146.000,02/03/2019,20:40,75,178,0.34,0.49,north
28,52.668,-146.000,02/03/2019,20:40,100,188,0.36,0.42,north
28,52.668,-146.000,02/03/2019,20:40,150,393,0.01,0.02,north
29,51.667,-146.000,03/03/2019,4:45,0,237,0.32,0.50,south
29,51.667,-146.000,03/03/2019,4:45,25,498,0.38,0.36,south
29,51.667,-146.000,03/03/2019,4:45,50,69,0.32,0.44,south
29,51.667,-146.000,03/03/2019,4:45,75,68,0.42,-0.04,south
29,51.667,-146.000,03/03/2019,4:45,100,131,0.05,0.02,south
29,51.667,-146.000,03/03/2019,4:45,150,821,0.01,0.02,south
30,50.667,-146.000,03/03/2019,13:05,0,343,0.42,0.37,south
30,50.667,-146.000,03/03/2019,13:05,25,210,0.43,0.41,south
30,50.667,-146.000,03/03/2019,13:05,50,299,0.66,0.12,south
30,50.667,-146.000,03/03/2019,13:05,75,845,0.41,0.34,south
30,50.667,-146.000,03/03/2019,13:05,100,31,0.40,-0.04,south
30,50.667,-146.000,03/03/2019,13:05,150,249,0.01,0.02,south
31,49.667,-146.000,03/03/2019,20:50,0,470,0.32,0.35,south
31,49.667,-146.000,03/03/2019,20:50,25,502,0.45,0.32,south
31,49.667,-146.000,03/03/2019,20:50,50,67,0.37,0.43,south
31,49.667,-146.000,03/03/2019,20:50,75,830,0.34,0.16,south
31,49.667,-146.000,03/03/2019,20:50,100,204,0.17,0.06,south
31,49.667,-146.000,03/03/2019,20:50,150,77,0.03,0.02,south
32,48.667,-146.000,04/03/2019,5:35,0,220,0.45,0.41,south
32,48.667,-146.000,04/03/2019,5:35,25,235,0.79,-0.01,south
32,48.667,-146.000,04/03/2019,5:35,50,303,0.41,0.39,south
32,48.667,-146.000,04/03/2019,5:35,75,292,0.25,0.21,south
32,48.667,-146.000,04/03/2019,5:35,100,1312,0.33,0.01,south
32,48.667,-146.000,04/03/2019,5:35,150,809,0.02,0.02,south
33,48.667,-144.500,04/03/2019,13:45,0,226,0.58,0.26,south
33,48.667,-144.500,04/03/2019,13:45,25,436,0.74,0.19,south
33,48.667,-144.500,04/03/2019,13:45,50,95,0.35,0.42,south
33,48.667,-144.500,04/03/2019,13:45,75,216,0.29,0.20,south
33,48.667,-144.500,04/03/2019,13:45,100,227,0.31,0.00,south
33,48.667,-144.500,04/03/2019,13:45,150,417,0.03,0.02,south
34,49.667,-144.500,04/03/2019,21:45,0,400,0.78,0.04,south
34,49.667,-144.500,04/03/2019,21:45,25,426,0.74,0.13,south
34,49.667,-144.500,04/03/2019,21:45,50,41,0.87,0.02,south
34,49.667,-144.500,04/03/2019,21:45,75,265,0.33,0.38,south
34,49.667,-144.500,04/03/2019,21:45,100,108,0.12,0.08,south
34,49.667,-144.500,04/03/2019,21:45,150,56,0.02,0.03,south
35,50.668,-144.507,05/03/2019,6:17,0,483,0.30,0.45,south
35,50.668,-144.507,05/03/2019,6:17,25,492,0.69,0.11,south
35,50.668,-144.507,05/03/2019,6:17,50,40,0.31,0.48,south
35,50.668,-144.507,05/03/2019,6:17,75,2,0.26,0.32,south
35,50.668,-144.507,05/03/2019,6:17,100,485,0.34,-0.03,south
35,50.668,-144.507,05/03/2019,6:17,150,63,0.01,0.02,south
36,51.667,-144.500,05/03/2019,14:25,0,264,0.70,0.09,south
36,51.667,-144.500,05/03/2019,14:25,25,444,0.68,0.08,south
36,51.667,-144.500,05/03/2019,14:25,50,419,0.92,0.04,south
36,51.667,-144.500,05/03/2019,14:25,75,54,0.30,0.31,south
36,51.667,-144.500,05/03/2019,14:25,100,818,0.35,-0.03,south
36,51.667,-144.500,05/03/2019,14:25,150,59,0.01,0.01,south
37,52.667,-144.500,05/03/2019,22:15,0,411,0.41,0.41,north
37,52.667,-144.500,05/03/2019,22:15,25,75,0.49,0.36,north
37,52.667,-144.500,05/03/2019,22:15,50,471,0.28,0.48,north
37,52.667,-144.500,05/03/2019,22:15,75,450,0.42,0.01,north
37,52.667,-144.500,05/03/2019,22:15,100,66,0.32,0.29,north
37,52.667,-144.500,05/03/2019,22:15,150,78,0.02,0.02,north
38,53.667,-144.500,06/03/2019,6:05,0,491,0.37,0.39,north
38,53.667,-144.500,06/03/2019,6:05,25,25,0.41,0.42,north
38,53.667,-144.500,06/03/2019,6:05,50,270,0.43,0.37,north
38,53.667,-144.500,06/03/2019,6:05,75,844,0.31,0.14,north
38,53.667,-144.500,06/03/2019,6:05,100,23,0.14,0.09,north
38,53.667,-144.500,06/03/2019,6:05,150,222,0.01,0.02,north
39,54.667,-144.500,06/03/2019,14:10,0,65,0.44,0.35,north
39,54.667,-144.500,06/03/2019,14:10,25,36,0.37,0.44,north
39,54.667,-144.500,06/03/2019,14:10,50,831,0.41,0.39,north
39,54.667,-144.500,06/03/2019,14:10,75,504,0.42,-0.01,north
39,54.667,-144.500,06/03/2019,14:10,100,810,0.07,0.04,north
39,54.667,-144.500,06/03/2019,14:10,150,410,0.02,0.03,north
40,54.667,-143.000,06/03/2019,21:10,0,97,0.43,0.39,north
40,54.667,-143.000,06/03/2019,21:10,25,839,0.42,0.44,north
40,54.667,-143.000,06/03/2019,21:10,50,243,0.35,0.48,north
40,54.667,-143.000,06/03/2019,21:10,75,15,0.43,-0.05,north
40,54.667,-143.000,06/03/2019,21:10,100,408,0.12,0.08,north
40,54.667,-143.000,06/03/2019,21:10,150,422,0.02,0.02,north
41,53.667,-143.000,07/03/2019,5:15,0,405,0.43,0.43,north
41,53.667,-143.000,07/03/2019,5:15,25,503,0.32,0.50,north
41,53.667,-143.000,07/03/2019,5:15,50,35,0.32,0.47,north
41,53.667,-143.000,07/03/2019,5:15,75,406,0.30,0.27,north
41,53.667,-143.000,07/03/2019,5:15,100,289,0.38,-0.02,north
41,53.667,-143.000,07/03/2019,5:15,150,832,0.02,0.02,north
42,52.667,-143.000,07/03/2019,13:10,0,249,0.72,0.10,north
42,52.667,-143.000,07/03/2019,13:10,25,299,0.73,0.09,north
42,52.667,-143.000,07/03/2019,13:10,50,69,0.66,0.13,north
42,52.667,-143.000,07/03/2019,13:10,75,30,0.29,0.23,north
42,52.667,-143.000,07/03/2019,13:10,100,498,0.04,0.05,north
42,52.667,-143.000,07/03/2019,13:10,150,131,0.02,0.03,north
43,51.667,-143.003,07/03/2019,21:23,0,23,0.69,0.09,south
43,51.667,-143.003,07/03/2019,21:23,25,845,0.69,0.07,south
43,51.667,-143.003,07/03/2019,21:23,50,210,0.64,0.13,south
43,51.667,-143.003,07/03/2019,21:23,75,255,0.34,0.28,south
43,51.667,-143.003,07/03/2019,21:23,100,87,0.07,0.05,south
43,51.667,-143.003,07/03/2019,21:23,150,821,0.02,0.03,south
44,50.667,-143.000,08/03/2019,5:58,0,187,0.65,0.10,south
44,50.667,-143.000,08/03/2019,5:58,25,469,0.67,0.06,south
44,50.667,-143.000,08/03/2019,5:58,50,31,0.63,0.13,south
44,50.667,-143.000,08/03/2019,5:58,75,486,0.39,-0.06,south
44,50.667,-143.000,08/03/2019,5:58,100,8,0.09,0.07,south
44,50.667,-143.000,08/03/2019,5:58,150,237,0.02,0.02,south
45,49.667,-142.999,08/03/2019,14:35,0,108,0.66,0.06,south
45,49.667,-142.999,08/03/2019,14:35,25,59,0.71,0.05,south
45,49.667,-142.999,08/03/2019,14:35,50,303,0.91,-0.02,south
45,49.667,-142.999,08/03/2019,14:35,75,483,0.43,0.35,south
45,49.667,-142.999,08/03/2019,14:35,100,2,0.34,0.08,south
45,49.667,-142.999,08/03/2019,14:35,150,40,0.03,0.04,south
46,48.667,-142.997,09/03/2019,0:19,0,235,0.70,-0.02,south
46,48.667,-142.997,09/03/2019,0:19,25,264,0.68,0.07,south
46,48.667,-142.997,09/03/2019,0:19,50,67,0.89,0.04,south
46,48.667,-142.997,09/03/2019,0:19,75,444,0.65,0.13,south
46,48.667,-142.997,09/03/2019,0:19,100,400,0.37,0.03,south
46,48.667,-142.997,09/03/2019,0:19,150,298,0.03,0.16,south
47,48.667,-141.501,09/03/2019,8:30,0,485,0.34,0.27,south
47,48.667,-141.501,09/03/2019,8:30,25,204,0.38,0.34,south
47,48.667,-141.501,09/03/2019,8:30,50,809,0.67,0.05,south
47,48.667,-141.501,09/03/2019,8:30,75,52,0.30,0.52,south
47,48.667,-141.501,09/03/2019,8:30,100,818,0.28,0.01,south
47,48.667,-141.501,09/03/2019,8:30,150,75,0.03,0.02,south
48,49.667,-141.500,09/03/2019,17:50,0,277,0.75,0.02,south
48,49.667,-141.500,09/03/2019,17:50,25,436,0.54,0.32,south
48,49.667,-141.500,09/03/2019,17:50,50,292,0.72,0.10,south
48,49.667,-141.500,09/03/2019,17:50,75,42,0.28,0.50,south
48,49.667,-141.500,09/03/2019,17:50,100,283,0.13,0.07,south
48,49.667,-141.500,09/03/2019,17:50,150,265,0.02,0.03,south
49,50.666,-141.499,10/03/2019,2:20,0,63,0.72,0.12,south
49,50.666,-141.499,10/03/2019,2:20,25,253,0.66,0.17,south
49,50.666,-141.499,10/03/2019,2:20,50,77,0.64,0.10,south
49,50.666,-141.499,10/03/2019,2:20,75,450,0.34,0.23,south
49,50.666,-141.499,10/03/2019,2:20,100,226,0.08,0.08,south
49,50.666,-141.499,10/03/2019,2:20,150,822,0.03,0.07,south
50,51.665,-141.498,10/03/2019,10:51,0,470,0.41,0.41,south
50,51.665,-141.498,10/03/2019,10:51,25,91,0.62,0.21,south
50,51.665,-141.498,10/03/2019,10:51,50,56,0.43,0.44,south
50,51.665,-141.498,10/03/2019,10:51,75,404,0.25,0.40,south
50,51.665,-141.498,10/03/2019,10:51,100,66,0.41,-0.05,south
50,51.665,-141.498,10/03/2019,10:51,150,426,0.03,0.03,south
51,52.667,-141.500,10/03/2019,18:55,0,76,0.77,0.31,north
51,52.667,-141.500,10/03/2019,18:55,25,302,0.59,0.22,north
51,52.667,-141.500,10/03/2019,18:55,50,54,0.32,0.27,north
51,52.667,-141.500,10/03/2019,18:55,75,247,0.22,0.61,north
51,52.667,-141.500,10/03/2019,18:55,100,220,0.05,0.04,north
51,52.667,-141.500,10/03/2019,18:55,150,95,0.02,0.01,north
52,53.666,-141.497,11/03/2019,3:02,0,217,0.58,0.30,north
52,53.666,-141.497,11/03/2019,3:02,25,474,0.49,0.28,north
52,53.666,-141.497,11/03/2019,3:02,50,411,0.38,0.44,north
52,53.666,-141.497,11/03/2019,3:02,75,446,0.57,0.23,north
52,53.666,-141.497,11/03/2019,3:02,100,492,0.30,0.31,north
52,53.666,-141.497,11/03/2019,3:02,150,49,0.02,0.02,north
53,53.668,-140.001,11/03/2019,11:07,0,481,0.43,0.40,north
53,53.668,-140.001,11/03/2019,11:07,25,256,0.65,0.12,north
53,53.668,-140.001,11/03/2019,11:07,50,502,0.38,0.47,north
53,53.668,-140.001,11/03/2019,11:07,75,258,0.27,0.40,north
53,53.668,-140.001,11/03/2019,11:07,100,416,0.05,0.16,north
53,53.668,-140.001,11/03/2019,11:07,150,78,0.03,0.02,north
54,52.667,-140.000,11/03/2019,23:20,0,240,0.55,0.24,north
54,52.667,-140.000,11/03/2019,23:20,25,451,0.34,0.49,north
54,52.667,-140.000,11/03/2019,23:20,50,53,0.32,0.45,north
54,52.667,-140.000,11/03/2019,23:20,75,1315,0.30,0.43,north
54,52.667,-140.000,11/03/2019,23:20,100,17,0.24,0.60,north
54,52.667,-140.000,11/03/2019,23:20,150,463,0.02,0.11,north
55,51.667,-140.000,12/03/2019,20:24,0,68,0.30,0.48,south
55,51.667,-140.000,12/03/2019,20:24,25,41,0.27,0.47,south
55,51.667,-140.000,12/03/2019,20:24,50,279,0.30,0.56,south
55,51.667,-140.000,12/03/2019,20:24,75,458,0.32,0.41,south
55,51.667,-140.000,12/03/2019,20:24,100,236,0.34,0.27,south
55,51.667,-140.000,12/03/2019,20:24,150,830,0.02,0.05,south
56,50.667,-140.000,13/03/2019,3:50,0,1312,0.31,0.37,south
56,50.667,-140.000,13/03/2019,3:50,25,238,0.32,0.30,south
56,50.667,-140.000,13/03/2019,3:50,50,904,0.31,0.28,south
56,50.667,-140.000,13/03/2019,3:50,75,216,0.33,0.32,south
56,50.667,-140.000,13/03/2019,3:50,100,1316,0.15,0.14,south
56,50.667,-140.000,13/03/2019,3:50,150,471,0.01,0.04,south
57,50.667,-138.500,13/03/2019,12:27,0,60,0.41,0.42,south
57,50.667,-138.500,13/03/2019,12:27,25,417,0.37,0.43,south
57,50.667,-138.500,13/03/2019,12:27,50,407,0.36,0.45,south
57,50.667,-138.500,13/03/2019,12:27,75,287,0.37,0.42,south
57,50.667,-138.500,13/03/2019,12:27,100,295,0.22,0.19,south
57,50.667,-138.500,13/03/2019,12:27,150,20,0.02,0.03,south
58,49.664,-138.497,14/03/2019,6:08,0,251,0.28,0.33,south
58,49.664,-138.497,14/03/2019,6:08,25,66,0.28,0.32,south
58,49.664,-138.497,14/03/2019,6:08,50,235,0.30,0.31,south
58,49.664,-138.497,14/03/2019,6:08,75,444,0.32,0.24,south
58,49.664,-138.497,14/03/2019,6:08,100,204,0.13,0.09,south
58,49.664,-138.497,14/03/2019,6:08,150,226,0.02,0.03,south
59,48.667,-138.500,14/03/2019,19:40,0,436,0.34,0.13,south
59,48.667,-138.500,14/03/2019,19:40,25,227,0.38,0.11,south
59,48.667,-138.500,14/03/2019,19:40,50,75,0.46,-0.08,south
59,48.667,-138.500,14/03/2019,19:40,75,76,0.28,0.13,south
59,48.667,-138.500,14/03/2019,19:40,100,818,0.14,0.09,south
59,48.667,-138.500,14/03/2019,19:40,150,220,0.03,0.04,south
60,48.666,-139.994,15/03/2019,3:59,0,283,0.38,-0.04,south
60,48.666,-139.994,15/03/2019,3:59,25,450,0.35,-0.06,south
60,48.666,-139.994,15/03/2019,3:59,50,87,0.35,0.01,south
60,48.666,-139.994,15/03/2019,3:59,75,54,0.39,0.02,south
60,48.666,-139.994,15/03/2019,3:59,100,42,0.35,-0.01,south
60,48.666,-139.994,15/03/2019,3:59,150,302,0.03,0.04,south